Date,Gold,WTI,Heat_Oil,Natural_Gas,Silver,US_Coffee,US_Corn,Wheat,Copper,Platinum,Cocoa
1/1/2000,283.20,27.64,1.95,2662.00,5287.00,111.10,220.00,256.25,0.84,971.40,2541.00
2/1/2000,292.40,30.43,1.87,2761.00,5048.00,99.90,215.00,247.00,0.79,900.40,2588.00
3/1/2000,278.40,26.90,1.84,2945.00,5020.00,103.70,236.00,262.25,0.80,933.70,2455.00
4/1/2000,273.10,25.74,1.84,3141.00,4960.00,95.30,223.75,242.25,0.79,883.40,2451.00
5/1/2000,271.70,29.01,1.82,4356.00,4941.00,93.00,225.00,274.75,0.81,931.70,2238.00
6/1/2000,290.10,32.50,1.97,4476.00,5033.00,84.85,187.50,259.50,0.82,878.90,2417.00
7/1/2000,276.80,27.43,1.96,3774.00,5006.00,86.45,180.25,246.25,0.87,835.50,2473.00
8/1/2000,278.30,33.12,1.87,4782.00,5003.00,74.50,183.75,250.75,0.89,794.20,2412.00
9/1/2000,273.60,30.84,2.12,5186.00,4899.00,83.00,193.25,265.00,0.92,891.70,2385.00
10/1/2000,264.90,32.70,2.03,4490.00,4754.00,74.40,202.25,254.75,0.85,854.10,2305.00
11/1/2000,270.10,33.82,2.07,6589.00,4674.00,67.20,208.75,256.00,0.84,879.80,2319.00
12/1/2000,272.00,26.80,1.93,9775.00,4585.00,65.55,224.75,279.50,0.85,830.00,2290.00
1/1/2001,265.60,28.66,1.74,5707.00,4791.00,63.75,209.00,273.00,0.85,805.60,2481.00
2/1/2001,266.80,27.39,1.88,5236.00,4472.00,63.90,214.50,265.00,0.81,810.10,2260.00
3/1/2001,257.90,26.29,2.22,5025.00,4278.00,60.30,203.25,255.00,0.76,852.10,2297.00
4/1/2001,264.00,28.46,2.32,4695.00,4320.00,61.85,199.25,272.75,0.77,831.80,2182.00
5/1/2001,265.30,28.37,2.22,3914.00,4396.00,57.15,192.75,267.00,0.75,801.60,2382.00
6/1/2001,270.60,26.25,2.19,3096.00,4292.00,56.10,188.75,246.75,0.71,860.30,2301.00
7/1/2001,266.20,26.35,2.25,3296.00,4210.00,51.95,218.75,278.50,0.68,852.80,2542.00
8/1/2001,274.40,27.20,2.21,2380.00,4162.00,50.50,219.00,278.00,0.68,912.10,2532.00
9/1/2001,292.40,23.43,2.10,2244.00,4647.00,48.30,209.75,270.75,0.65,929.80,2711.00
10/1/2001,279.50,21.18,1.99,3291.00,4214.00,43.90,200.75,293.25,0.62,928.90,2599.00
11/1/2001,273.90,19.44,1.88,2701.00,4128.00,42.60,208.50,281.50,0.72,986.60,2327.00
12/1/2001,278.70,19.84,1.96,2570.00,4579.00,46.20,199.75,289.00,0.65,1002.10,2142.00
1/1/2002,282.10,19.48,1.91,2138.00,4216.00,45.10,206.00,286.00,0.73,935.80,2011.00
2/1/2002,296.70,21.74,1.85,2357.00,4497.00,44.75,200.50,267.25,0.71,941.30,2146.00
3/1/2002,302.60,26.31,1.82,3283.00,4641.00,57.20,202.50,285.00,0.76,917.80,2189.00
4/1/2002,308.90,27.29,1.74,3795.00,4532.00,50.70,193.50,261.75,0.73,913.20,2075.00
5/1/2002,326.50,25.31,1.70,3217.00,5026.00,51.90,214.00,282.25,0.76,1005.80,2007.00
6/1/2002,313.50,26.86,1.71,3245.00,4833.00,46.50,225.50,307.00,0.77,947.30,2188.00
7/1/2002,303.20,27.02,1.64,2954.00,4595.00,46.80,247.25,334.00,0.68,925.50,2073.00
8/1/2002,312.40,28.98,1.64,3296.00,4437.00,51.50,259.50,362.25,0.69,964.00,2168.00
9/1/2002,323.90,30.45,1.65,4138.00,4530.00,54.50,251.50,396.50,0.66,959.90,1979.00
10/1/2002,318.00,27.22,1.69,4156.00,4499.00,65.95,247.50,402.25,0.71,949.90,2208.00
